subject_id;teacher_id;group_code;lesson_type
57;12;‘¿-71;lec
57;12;‘¿-71;lab
11;14;‘¿-73;prac
34;19;‘¿-73;lec
34;19;‘¿-73;lab
34;19;‘¿-73;cw
35;20;‘¿-73;lec
35;20;‘¿-73;lab
36;20;‘¿-73;lec
36;20;‘¿-73;lab
54;30;‘¿-73;lec
54;30;‘¿-73;prac
56;19;‘¿-73;lec
56;19;‘¿-73;prac
57;12;‘¿-73;lec
57;12;‘¿-73;lab
9;14;‘¿-81;prac
10;14;‘¿-81;prac
24;26;‘¿-81;lec
24;26;‘¿-81;lab
25;16;‘¿-81;lec
25;16;‘¿-81;prac
29;20;‘¿-81;lec
29;20;‘¿-81;prac
30;20;‘¿-81;lec
30;20;‘¿-81;lab
31;16;‘¿-81;prac
31;26;‘¿-81;lec
31;26;‘¿-81;lab
32;26;‘¿-81;lec
32;26;‘¿-81;lab
32;26;‘¿-81;cw
33;19;‘¿-81;lec
44;16;‘¿-81;lec
46;3;‘¿-81;lec
46;3;‘¿-81;lab
47;2;‘¿-81;lec
47;2;‘¿-81;lab
50;30;‘¿-81;lec
50;30;‘¿-81;prac
51;18;‘¿-81;lec
51;18;‘¿-81;prac
52;26;‘¿-81;lec
52;26;‘¿-81;lab
74;2;‘¿-81;lec
74;2;‘¿-81;lab
9;14;‘¿-83;prac
10;14;‘¿-83;prac
24;26;‘¿-83;lec
24;26;‘¿-83;lab
25;16;‘¿-83;lec
25;16;‘¿-83;prac
29;20;‘¿-83;lec
29;20;‘¿-83;prac
30;20;‘¿-83;lec
30;20;‘¿-83;lab
31;16;‘¿-83;prac
31;26;‘¿-83;lec
31;26;‘¿-83;lab
32;26;‘¿-83;lec
32;26;‘¿-83;lab
32;26;‘¿-83;cw
33;19;‘¿-83;lec
44;16;‘¿-83;lec
46;3;‘¿-83;lec
46;3;‘¿-83;lab
47;2;‘¿-83;lec
47;2;‘¿-83;lab
50;30;‘¿-83;lec
50;30;‘¿-83;prac
51;18;‘¿-83;lec
51;18;‘¿-83;prac
52;26;‘¿-83;lec
52;26;‘¿-83;lab
7;14;‘¿-91;lec
8;14;‘¿-91;prac
14;21;‘¿-91;lec
14;21;‘¿-91;prac
20;24;‘¿-91;lec
20;24;‘¿-91;prac
21;7;‘¿-91;lec
21;18;‘¿-91;prac
22;22;‘¿-91;lec
22;22;‘¿-91;prac
23;26;‘¿-91;lec
23;26;‘¿-91;prac
40;7;‘¿-91;lec
40;7;‘¿-91;prac
41;2;‘¿-91;lec
41;2;‘¿-91;prac
41;2;‘¿-91;cw
42;22;‘¿-91;lec
42;22;‘¿-91;prac
77;16;‘¿-91;lec
77;16;‘¿-91;prac
78;18;‘¿-91;lec
78;18;‘¿-91;prac
7;14;‘¿-92;lec
8;14;‘¿-92;prac
14;21;‘¿-92;lec
14;21;‘¿-92;prac
20;24;‘¿-92;lec
20;24;‘¿-92;prac
21;18;‘¿-92;lec
21;18;‘¿-92;prac
22;22;‘¿-92;lec
22;22;‘¿-92;prac
23;26;‘¿-92;lec
23;26;‘¿-92;prac
40;7;‘¿-92;lec
40;7;‘¿-92;prac
41;2;‘¿-92;lec
41;2;‘¿-92;prac
41;2;‘¿-92;cw
42;22;‘¿-92;lec
42;22;‘¿-92;prac
77;16;‘¿-92;lec
77;16;‘¿-92;prac
78;18;‘¿-92;lec
78;18;‘¿-92;prac
7;14;‘¿-93;lec
8;14;‘¿-93;prac
14;21;‘¿-93;lec
14;21;‘¿-93;prac
20;24;‘¿-93;lec
20;24;‘¿-93;prac
21;18;‘¿-93;lec
21;18;‘¿-93;prac
22;22;‘¿-93;lec
22;22;‘¿-93;prac
23;26;‘¿-93;lec
23;26;‘¿-93;prac
40;7;‘¿-93;lec
40;7;‘¿-93;prac
41;2;‘¿-93;lec
41;2;‘¿-93;prac
41;2;‘¿-93;cw
42;22;‘¿-93;lec
42;22;‘¿-93;prac
77;16;‘¿-93;lec
77;22;‘¿-93;prac
1;10; œ-91;lec
1;10; œ-91;prac
3;28; œ-91;prac
5;14; œ-91;prac
12;26; œ-91;lec
12;26; œ-91;prac
13;26; œ-91;lec
13;26; œ-91;prac
15;6; œ-91;lec
15;6; œ-91;prac
16;6; œ-91;lec
16;6; œ-91;prac
17;7; œ-91;lec
17;7; œ-91;prac
19;27; œ-91;lec
19;27; œ-91;prac
26;2; œ-91;lec
26;2; œ-91;lab
27;12; œ-91;lec
27;12; œ-91;lab
28;12; œ-91;lec
28;12; œ-91;lab
28;12; œ-91;cw
1;10; œ-92;lec
1;10; œ-92;prac
3;28; œ-92;prac
5;14; œ-92;prac
12;26; œ-92;lec
12;26; œ-92;prac
13;26; œ-92;lec
13;26; œ-92;prac
15;6; œ-92;lec
15;6; œ-92;prac
16;6; œ-92;lec
16;6; œ-92;prac
17;7; œ-92;lec
17;7; œ-92;prac
19;27; œ-92;lec
19;27; œ-92;prac
26;2; œ-92;lec
26;2; œ-92;lab
27;12; œ-92;lec
27;12; œ-92;lab
28;12; œ-92;lec
28;12; œ-92;lab
28;12; œ-92;cw
9;14; œ-71;prac
10;14; œ-71;prac
24;30; œ-71;lec
24;30; œ-71;lab
45;11; œ-71;lec
45;11; œ-71;lab
49;12; œ-71;lec
49;12; œ-71;lab
53;23; œ-71;lec
53;23; œ-71;lab
63;26; œ-71;lec
63;26; œ-71;lab
63;26; œ-71;cw
66;30; œ-71;lec
66;30; œ-71;prac
72;17; œ-71;lec
72;17; œ-71;lab
9;14; œ-72;prac
10;14; œ-72;prac
24;30; œ-72;lec
24;30; œ-72;lab
45;11; œ-72;lec
45;11; œ-72;lab
49;12; œ-72;lec
49;12; œ-72;lab
53;23; œ-72;lec
53;23; œ-72;lab
63;26; œ-72;lec
63;26; œ-72;lab
63;26; œ-72;cw
66;30; œ-72;lec
66;30; œ-72;prac
72;17; œ-72;lec
72;17; œ-72;lab
7;14; œ-81;prac
8;14; œ-81;prac
14;21; œ-81;lec
14;21; œ-81;prac
20;27; œ-81;lec
20;27; œ-81;prac
21;8; œ-81;lec
21;8; œ-81;prac
22;8; œ-81;lec
22;8; œ-81;prac
23;30; œ-81;lec
23;30; œ-81;prac
41;2; œ-81;lec
41;2; œ-81;prac
41;2; œ-81;cw
42;8; œ-81;lec
42;8; œ-81;prac
43;12; œ-81;lec
43;12; œ-81;prac
48;15; œ-81;lec
48;15; œ-81;lab
71;24; œ-81;lec
71;24; œ-81;prac
7;14; œ-82;prac
8;14; œ-82;prac
14;21; œ-82;lec
14;21; œ-82;prac
20;27; œ-82;lec
20;27; œ-82;prac
21;8; œ-82;lec
21;8; œ-82;prac
22;8; œ-82;lec
22;8; œ-82;prac
23;30; œ-82;lec
23;30; œ-82;prac
41;2; œ-82;lec
41;2; œ-82;lab
41;2; œ-82;cw
42;8; œ-82;lec
42;8; œ-82;prac
71;24; œ-82;lec
71;24; œ-82;prac
73;15; œ-82;lec
73;15; œ-82;lab
73;15; œ-82;cw
75;17; œ-82;lec
75;17; œ-82;lab
2;5;Õ≈-91;lec
2;5;Õ≈-91;prac
3;28;Õ≈-91;prac
4;28;Õ≈-91;prac
5;14;Õ≈-91;prac
6;14;Õ≈-91;prac
12;26;Õ≈-91;lec
12;26;Õ≈-91;prac
13;26;Õ≈-91;lec
13;26;Õ≈-91;prac
15;29;Õ≈-91;lec
15;29;Õ≈-91;prac
16;29;Õ≈-91;lec
16;29;Õ≈-91;prac
17;7;Õ≈-91;lec
17;7;Õ≈-91;prac
19;27;Õ≈-91;lec
19;27;Õ≈-91;prac
70;4;Õ≈-91;lec
70;4;Õ≈-91;prac
10;14;Õ≈-71;prac
33;15;Õ≈-71;lec
69;20;Õ≈-71;lec
69;20;Õ≈-71;prac
76;17;Õ≈-71;lec
76;17;Õ≈-71;lab
7;14;Õ≈-81;prac
8;14;Õ≈-81;prac
14;21;Õ≈-81;lec
14;21;Õ≈-81;prac
20;27;Õ≈-81;lec
20;27;Õ≈-81;prac
21;8;Õ≈-81;lec
21;8;Õ≈-81;prac
22;8;Õ≈-81;lec
22;8;Õ≈-81;prac
23;30;Õ≈-81;lec
23;30;Õ≈-81;lab
42;8;Õ≈-81;lec
42;8;Õ≈-81;prac
67;13;Õ≈-81;lec
67;13;Õ≈-81;lab
71;1;Õ≈-81;lec
71;1;Õ≈-81;prac
1;10;ÕŒ-91;lec
1;10;ÕŒ-91;prac
2;5;ÕŒ-91;lec
2;5;ÕŒ-91;prac
3;28;ÕŒ-91;prac
4;28;ÕŒ-91;prac
5;14;ÕŒ-91;lec
5;14;ÕŒ-91;prac
6;14;ÕŒ-91;lec
6;14;ÕŒ-91;prac
60;13;ÕŒ-91;lec
60;13;ÕŒ-91;prac
61;13;ÕŒ-91;lec
61;13;ÕŒ-91;prac
7;14;ÕŒ-81;prac
7;14;ÕŒ-81;lec
62;13;ÕŒ-81;prac
62;13;ÕŒ-81;lec
2;5;Õ“-91;lec
2;5;Õ“-91;prac
3;28;Õ“-91;prac
4;28;Õ“-91;prac
5;14;Õ“-91;prac
6;14;Õ“-91;prac
12;26;Õ“-91;lec
12;26;Õ“-91;prac
13;26;Õ“-91;lec
13;26;Õ“-91;prac
15;29;Õ“-91;lec
15;29;Õ“-91;prac
16;29;Õ“-91;lec
16;29;Õ“-91;prac
17;7;Õ“-91;lec
17;7;Õ“-91;prac
19;27;Õ“-91;lec
19;27;Õ“-91;prac
65;3;Õ“-91;lec
65;3;Õ“-91;lab
9;14;Õ“-71;prac
10;14;Õ“-71;prac
33;15;Õ“-71;lec
66;30;Õ“-71;lec
66;30;Õ“-71;prac
69;20;Õ“-71;lec
69;20;Õ“-71;prac
72;17;Õ“-71;lec
72;17;Õ“-71;prac
76;15;Õ“-71;prac
76;17;Õ“-71;lec
76;17;Õ“-71;lab
7;14;Õ“-81;prac
8;14;Õ“-81;prac
14;21;Õ“-81;lec
14;21;Õ“-81;prac
20;27;Õ“-81;lec
20;27;Õ“-81;prac
21;8;Õ“-81;lec
21;8;Õ“-81;prac
22;8;Õ“-81;lec
22;8;Õ“-81;prac
23;30;Õ“-81;lec
23;30;Õ“-81;lab
42;8;Õ“-81;lec
42;8;Õ“-81;prac
67;13;Õ“-81;lec
67;13;Õ“-81;lab
71;1;Õ“-81;lec
71;1;Õ“-81;prac
1;10;‘¿-91;lec
1;10;‘¿-91;prac
2;5;‘¿-91;lec
2;5;‘¿-91;prac
3;28;‘¿-91;prac
4;28;‘¿-91;prac
5;14;‘¿-91;prac
6;14;‘¿-91;prac
12;16;‘¿-91;lec
12;16;‘¿-91;prac
13;16;‘¿-91;lec
13;16;‘¿-91;prac
15;6;‘¿-91;lec
15;6;‘¿-91;prac
16;6;‘¿-91;lec
16;6;‘¿-91;prac
17;7;‘¿-91;lec
17;7;‘¿-91;prac
18;7;‘¿-91;lec
18;7;‘¿-91;prac
19;24;‘¿-91;lec
19;24;‘¿-91;prac
26;2;‘¿-91;lec
26;2;‘¿-91;lab
27;26;‘¿-91;lec
27;26;‘¿-91;lab
28;26;‘¿-91;lec
28;26;‘¿-91;prac
28;26;‘¿-91;cw
39;7;‘¿-91;lec
39;7;‘¿-91;prac
1;10;‘¿-92;lec
1;10;‘¿-92;prac
2;5;‘¿-92;lec
2;5;‘¿-92;prac
3;28;‘¿-92;prac
4;28;‘¿-92;prac
5;14;‘¿-92;prac
6;14;‘¿-92;prac
12;16;‘¿-92;lec
12;16;‘¿-92;prac
13;16;‘¿-92;lec
13;16;‘¿-92;prac
15;6;‘¿-92;lec
15;6;‘¿-92;prac
16;6;‘¿-92;lec
16;6;‘¿-92;prac
17;7;‘¿-92;lec
17;7;‘¿-92;prac
18;7;‘¿-92;lec
18;7;‘¿-92;prac
19;24;‘¿-92;lec
19;24;‘¿-92;prac
26;2;‘¿-92;lec
26;2;‘¿-92;lab
27;26;‘¿-92;lec
27;26;‘¿-92;lab
28;26;‘¿-92;lec
28;26;‘¿-92;lab
28;26;‘¿-92;cw
39;7;‘¿-92;lec
39;7;‘¿-92;prac
1;10;‘¿-93;lec
1;10;‘¿-93;prac
2;5;‘¿-93;lec
2;5;‘¿-93;prac
3;28;‘¿-93;prac
4;28;‘¿-93;prac
5;14;‘¿-93;prac
6;14;‘¿-93;prac
12;16;‘¿-93;lec
12;16;‘¿-93;prac
13;16;‘¿-93;lec
13;16;‘¿-93;prac
15;6;‘¿-93;lec
15;6;‘¿-93;prac
16;6;‘¿-93;lec
16;6;‘¿-93;prac
17;7;‘¿-93;lec
17;7;‘¿-93;prac
18;7;‘¿-93;lec
18;7;‘¿-93;prac
19;24;‘¿-93;lec
19;24;‘¿-93;prac
26;2;‘¿-93;lec
26;2;‘¿-93;lab
27;26;‘¿-93;lec
27;26;‘¿-93;lab
28;26;‘¿-93;lec
28;26;‘¿-93;lab
28;26;‘¿-93;cw
39;7;‘¿-93;lec
39;7;‘¿-93;prac
9;14;‘¿-71;prac
10;14;‘¿-71;prac
24;26;‘¿-71;lec
24;26;‘¿-71;lab
25;16;‘¿-71;lec
25;16;‘¿-71;prac
29;20;‘¿-71;lec
29;20;‘¿-71;prac
30;20;‘¿-71;lec
30;20;‘¿-71;lab
31;16;‘¿-71;prac
31;26;‘¿-71;lec
31;26;‘¿-71;lab
32;26;‘¿-71;lec
32;26;‘¿-71;lab
32;26;‘¿-71;cw
33;19;‘¿-71;lec
44;16;‘¿-71;lec
46;3;‘¿-71;lec
46;3;‘¿-71;lab
47;2;‘¿-71;lec
47;2;‘¿-71;lab
50;30;‘¿-71;lec
50;30;‘¿-71;prac
51;18;‘¿-71;lec
51;18;‘¿-71;prac
52;26;‘¿-71;lec
52;26;‘¿-71;lab
74;2;‘¿-71;lec
74;2;‘¿-71;lab
9;14;‘¿-73;prac
10;14;‘¿-73;prac
24;26;‘¿-73;lec
24;26;‘¿-73;lab
25;16;‘¿-73;lec
25;16;‘¿-73;prac
29;20;‘¿-73;lec
29;20;‘¿-73;prac
30;20;‘¿-73;lec
30;20;‘¿-73;lab
31;16;‘¿-73;prac
31;26;‘¿-73;lec
31;26;‘¿-73;lab
32;26;‘¿-73;lec
32;26;‘¿-73;lab
32;26;‘¿-73;cw
33;19;‘¿-73;lec
44;16;‘¿-73;lec
46;3;‘¿-73;lec
46;3;‘¿-73;lab
47;2;‘¿-73;lec
47;2;‘¿-73;lab
50;30;‘¿-73;lec
50;30;‘¿-73;prac
51;18;‘¿-73;lec
51;18;‘¿-73;prac
52;26;‘¿-73;lec
52;26;‘¿-73;lab
7;14;‘¿-81;lec
8;14;‘¿-81;prac
14;21;‘¿-81;lec
14;21;‘¿-81;prac
20;24;‘¿-81;lec
20;24;‘¿-81;prac
21;7;‘¿-81;lec
21;18;‘¿-81;prac
22;22;‘¿-81;lec
22;22;‘¿-81;prac
23;26;‘¿-81;lec
23;26;‘¿-81;prac
40;7;‘¿-81;lec
40;7;‘¿-81;prac
41;2;‘¿-81;lec
41;2;‘¿-81;prac
41;2;‘¿-81;cw
42;22;‘¿-81;lec
42;22;‘¿-81;prac
77;16;‘¿-81;lec
77;16;‘¿-81;prac
78;18;‘¿-81;lec
78;18;‘¿-81;prac
7;14;‘¿-82;lec
8;14;‘¿-82;prac
14;21;‘¿-82;lec
14;21;‘¿-82;prac
20;24;‘¿-82;lec
20;24;‘¿-82;prac
21;18;‘¿-82;lec
21;18;‘¿-82;prac
22;22;‘¿-82;lec
22;22;‘¿-82;prac
23;26;‘¿-82;lec
23;26;‘¿-82;prac
40;7;‘¿-82;lec
40;7;‘¿-82;prac
41;2;‘¿-82;lec
41;2;‘¿-82;prac
41;2;‘¿-82;cw
42;22;‘¿-82;lec
42;22;‘¿-82;prac
77;16;‘¿-82;lec
77;16;‘¿-82;prac
78;18;‘¿-82;lec
78;18;‘¿-82;prac
7;14;‘¿-83;lec
8;14;‘¿-83;prac
14;21;‘¿-83;lec
14;21;‘¿-83;prac
20;24;‘¿-83;lec
20;24;‘¿-83;prac
21;18;‘¿-83;lec
21;18;‘¿-83;prac
22;22;‘¿-83;lec
22;22;‘¿-83;prac
23;26;‘¿-83;lec
23;26;‘¿-83;prac
40;7;‘¿-83;lec
40;7;‘¿-83;prac
41;2;‘¿-83;lec
41;2;‘¿-83;prac
41;2;‘¿-83;cw
42;22;‘¿-83;lec
42;22;‘¿-83;prac
77;16;‘¿-83;lec
77;22;‘¿-83;prac
1;10; œ-81;lec
1;10; œ-81;prac
3;28; œ-81;prac
5;14; œ-81;prac
12;26; œ-81;lec
12;26; œ-81;prac
13;26; œ-81;lec
13;26; œ-81;prac
15;6; œ-81;lec
15;6; œ-81;prac
16;6; œ-81;lec
16;6; œ-81;prac
17;7; œ-81;lec
17;7; œ-81;prac
19;27; œ-81;lec
19;27; œ-81;prac
26;2; œ-81;lec
26;2; œ-81;lab
27;12; œ-81;lec
27;12; œ-81;lab
28;12; œ-81;lec
28;12; œ-81;lab
28;12; œ-81;cw
1;10; œ-82;lec
1;10; œ-82;prac
3;28; œ-82;prac
5;14; œ-82;prac
12;26; œ-82;lec
12;26; œ-82;prac
13;26; œ-82;lec
13;26; œ-82;prac
15;6; œ-82;lec
15;6; œ-82;prac
16;6; œ-82;lec
16;6; œ-82;prac
17;7; œ-82;lec
17;7; œ-82;prac
19;27; œ-82;lec
19;27; œ-82;prac
26;2; œ-82;lec
26;2; œ-82;lab
27;12; œ-82;lec
27;12; œ-82;lab
28;12; œ-82;lec
28;12; œ-82;lab
28;12; œ-82;cw
7;14; œ-71;prac
8;14; œ-71;prac
14;21; œ-71;lec
14;21; œ-71;prac
20;27; œ-71;lec
20;27; œ-71;prac
21;8; œ-71;lec
21;8; œ-71;prac
22;8; œ-71;lec
